quest_id	title	eq_group	eq_zone	eq_phase	category	confidence_in_classification	finding	related_ids_not_replacements	next_step	sources	exact_title_candidates_not_replacements
6984	A Smokywood Pastures' Thank You!	Seasonal	-1001		Ежегодный праздник	high	Winter Veil: ордынское завершение цепочки после 6983, Smokywood→Great-father Winter в Orgrimmar; в TBC Questie не скрывает этот ID во время праздника. Принадлежность празднику подтверждена; причина пустого ответа API вне события не доказана, доступность на Anniversary требует проверки в период праздника.	6983	Сохранить ID. Возможна отдельная метка Season; повторно запросить API и проверить выдачу на соответствующем празднике, не удалять по одному скану.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L2935 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/Holidays/quests/WinterVeil.lua#L18	-
7045	A Smokywood Pastures' Thank You!	Seasonal	-1001		Ежегодный праздник	high	Winter Veil: альянсовое завершение после 7043, Smokywood→Greatfather Winter в Ironforge; это другая фракционная ветка, не дубликат 6984. Принадлежность празднику подтверждена; причина пустого ответа API вне события не доказана, доступность на Anniversary требует проверки в период праздника.	7043,6984	Сохранить ID. Возможна отдельная метка Season; повторно запросить API и проверить выдачу на соответствующем празднике, не удалять по одному скану.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L2953 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/Holidays/quests/WinterVeil.lua#L19	-
7063	The Feast of Winter Veil	Seasonal	-1001		Ежегодный праздник	high	Winter Veil: альянсовый этап с книгой,2916→Magni 2784 после 7062. Совпавший 7061 — ордынский этап с Cairne 3057 после 6964, а не замена. Принадлежность празднику подтверждена; причина пустого ответа API вне события не доказана, доступность на Anniversary требует проверки в период праздника.	7062,7061	Сохранить ID. Возможна отдельная метка Season; повторно запросить API и проверить выдачу на соответствующем празднике, не удалять по одному скану.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L2957 ; https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/Corrections/Holidays/quests/WinterVeil.lua#L20	7061
7361	Favor Amongst the Darkspear	Battlegrounds	2597		Историческая PvP-механика	high	Старая сдача голов ночных эльфов игроков в Alterac Valley; исторический квест удален в patch 1.10.0. Это не будущая фаза TBC и не новый ID.		Кандидат на историческую/недоступную запись для Anniversary; историю выполнения не удалять.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3002 ; https://warcraft.wiki.gg/wiki/Favor_Amongst_the_Darkspear	-
7363	The Human Condition	Battlegrounds	2597		Историческая PvP-механика	high	Старая сдача костных осколков людей игроков в Alterac Valley; исторический квест удален в patch 1.10.0. Это не будущая фаза TBC и не новый ID.		Кандидат на историческую/недоступную запись для Anniversary; историю выполнения не удалять.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3004 ; https://warcraft.wiki.gg/wiki/The_Human_Condition	-
7364	Gnomeregan Bounty	Battlegrounds	2597		Историческая PvP-механика	high	Старая сдача копыт тауренов игроков в Alterac Valley; исторический квест удален в patch 1.10.0. Это не будущая фаза TBC и не новый ID.		Кандидат на историческую/недоступную запись для Anniversary; историю выполнения не удалять.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3005 ; https://warcraft.wiki.gg/wiki/Gnomeregan_Bounty	-
7365	Staghelm's Requiem	Battlegrounds	2597		Историческая PvP-механика	high	Старая сдача моджо троллей игроков в Alterac Valley; исторический квест удален в patch 1.10.0. Это не будущая фаза TBC и не новый ID.		Кандидат на историческую/недоступную запись для Anniversary; историю выполнения не удалять.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3006 ; https://warcraft.wiki.gg/wiki/Staghelm%27s_Requiem	-
7366	The Archbishop's Mercy	Battlegrounds	2597		Историческая PvP-механика	high	Старая сдача сердец Отрекшихся игроков в Alterac Valley; исторический квест удален в patch 1.10.0. Это не будущая фаза TBC и не новый ID.		Кандидат на историческую/недоступную запись для Anniversary; историю выполнения не удалять.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3007 ; https://warcraft.wiki.gg/wiki/The_Archbishop%27s_Mercy	-
7381	The Return of Korrak	Battlegrounds	2597		Историческая PvP-механика	high	Старый повторяемый квест на Korrak в Alterac Valley. Patch 1.8.0 явно убрал The Return of Korrak и Korrak the Everliving; награды начальных квестов переместили в победные AV-квесты. Не относится к будущей фазе TBC.		Кандидат на историческую запись; не подменять ID квестом победы и не переносить completion.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3010 ; https://warcraft.wiki.gg/wiki/Patch_1.8	-
7382	Korrak the Everliving	Battlegrounds	2597		Историческая PvP-механика	high	Старый повторяемый квест на Korrak в Alterac Valley. Patch 1.8.0 явно убрал The Return of Korrak и Korrak the Everliving; награды начальных квестов переместили в победные AV-квесты. Не относится к будущей фазе TBC.		Кандидат на историческую запись; не подменять ID квестом победы и не переносить completion.	https://github.com/Questie/Questie/blob/94e2a1420ba989c344508f1b08e6767a8a3fa5a3/Database/TBC/tbcQuestDB.lua#L3011 ; https://warcraft.wiki.gg/wiki/Patch_1.8	-
